,prompt,completion
5454,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

KANSAS | CITY | 9 | Detroit | 2

###

", B-ORG | I-ORG | O | B-ORG | O***END***
5455,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MINNESOTA | 6 | Texas | 5

###

", B-ORG | O | B-ORG | O***END***
5456,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | CHAMPIONS | PORTO | KICK | OFF | SEASON | WITH | A | DRAW | .

###

", O | O | O | B-LOC | O | O | O | O | O | O | O***END***
5457,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LISBON | 1996-08-25

###

", B-LOC | O***END***
5458,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Portuguese | champions | Porto | kicked | off | the | season | with | a | disappointing | 2-2 | home | draw | against | Setubal | and | were | lucky | to | squeeze | in | an | equaliser | in | extra | time | .

###

", B-MISC | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O***END***
5459,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Porto | , | who | are | fighting | to | take | their | third | consecutive | title | this | season | , | were | 2-0 | down | until | the | 86th | minute | when | a | header | by | Mario | Jardel | found | the | net | after | a | string | of | missed | opportunities | , | including | a | penalty | taken | by | top | league | scorer | Domingos | Oliveira | in | the | 60th | minute | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O***END***
5460,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Domingos | redeemed | himself | by | netting | the | equaliser | just | into | extra | time | .

###

", B-PER | O | O | O | O | O | O | O | O | O | O | O***END***
5461,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Setubal | , | who | put | on | a | skilful | counter-attack | throughout | the | game | , | opened | the | scoring | 16 | minutes | into | the | match | when | an | unmarked | Chiquinho | Conde | shot | around | Porto | 's | new | Polish | keeper | Andrejez | Wozniak | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | B-ORG | O | O | B-MISC | O | B-PER | I-PER | O***END***
5462,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Conde | scored | his | second | in | the | 70th | minute | .

###

", B-PER | O | O | O | O | O | O | O | O***END***
5463,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Benfica | , | also | playing | their | first | game | of | the | season | at | home | , | were | held | to | a | 1-1 | draw | by | northern | side | Braga | despite | the | fact | that | the | visitors | were | reduced | to | 10 | men | in | the | 54th | minute | after | Rodrigo | Carneiro | was | sent | off | for | a | second | bookable | offence | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O***END***
5464,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Benfica | dominated | the | game | but | their | lack | of | a | first-class | striker | was | apparent | throughout | and | in | the | 30th | minute | they | lost | key | Brazilian | midfielder | Valdo | who | suffered | a | light | knee | injury | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | B-PER | O | O | O | O | O | O | O***END***
5465,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

He | was | substituted | by | Paulao | .

###

", O | O | O | O | B-PER | O***END***
5466,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Benfica | finally | opened | the | scoring | in | the | 81st | minute | with | a | penalty | taken | by | Helder | after | Luis | Baltasar | tripped | up | captain | Joao | Pinto | under | the | referee | 's | nose | .

###

", B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | B-PER | I-PER | O | O | O | B-PER | I-PER | O | O | O | O | O | O***END***
5467,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Braga | defender | Idalecio | gave | his | team | their | equaliser | seven | minutes | from | the | final | whistle | with | a | header | into | the | back | of | the | net | .

###

", B-ORG | O | B-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
5468,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | PORTUGUESE | FIRST | DIVISION | RESULTS | .

###

", O | O | B-MISC | O | O | O | O***END***
5469,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

LISBON | 1996-08-25

###

", B-LOC | O***END***
5470,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Results | of | Portuguese | first

###

", O | O | B-MISC | O***END***
5471,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

division | soccer | matches | on | Sunday | :

###

", O | O | O | O | O | O***END***
5472,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

FC | Porto | 2 | Setubal | 2

###

", B-ORG | I-ORG | O | B-ORG | O***END***
5473,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Benfica | 1 | Braga | 1

###

", B-ORG | O | B-ORG | O***END***
5474,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Guimaraes | 4 | Gil | Vicente | 2

###

", B-ORG | O | B-ORG | I-ORG | O***END***
5475,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | FIORENTINA | WIN | WITH | BATISTUTA | DOUBLE | .

###

", O | O | B-ORG | O | O | B-PER | O | O***END***
5476,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MILAN | 1996-08-25

###

", B-LOC | O***END***
5477,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Argentine | striker | Gabriel | Batistuta | gave | Fiorentina | the | perfect | 70th | birthday | present | on | Sunday | with | two | goals | that | gave | the | Italian | Cup | winners | a | 2-1 | Supercup | victory | over | serie | A | champions | Milan | .

###

", B-MISC | O | B-PER | I-PER | O | B-ORG | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | I-MISC | O | O | O | B-MISC | O | O | B-MISC | I-MISC | O | B-ORG | O***END***
5478,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | victory | , | coming | on | the | eve | of | the | founding | of | the | Florence | club | in | 1926 | , | also | marked | the | first | time | since | the | pre-season | trophy | between | the | Cup | winners | and | league | champions | was | started | in | 1988 | that | the | Cup | winners | had | won | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | B-LOC | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | O | O***END***
5479,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Batistuta | gave | Fiorentina | the | lead | in | the | 11th | minute | .

###

", B-PER | O | B-ORG | O | O | O | O | O | O | O***END***
5480,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Sweden | 's | Stefan | Schwarz | picked | him | out | with | a | lob | to | the | edge | of | the | box | and | Batistuta | did | the | rest | , | chipping | veteran | defender | Franco | Baresi | and | scoring | at | the | near | post | .

###

", B-LOC | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | O | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O***END***
5481,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Montenegrin | midfielder | Dejan | Savicevic | equalised | for | the | home | team | , | weaving | past | a | defender | , | checking | and | firing | in | a | left-footed | shot | in | the | 21st | minute | that | gave | young | Fiorentina | goalkeeper | Francesco | Toldo | little | chance | .

###

", B-MISC | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-ORG | O | B-PER | I-PER | O | O | O***END***
5482,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | scored | stayed | level | to | the | final | minutes | but | with | a | penalty | shoot | out | looming | , | Batistuta | took | charge | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | O | O***END***
5483,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

French | international | midfielder | Marcel | Desailly | fouled | the | Argentine | , | whose | coach | at | Boca | Juniors | before | he | joined | Fiorentina | in | 1991 | was | new | Milan | coach | Oscar | Tabarez | , | and | Batistuta | rammed | home | the | free | kick | from | 30 | metres | out | .

###

", B-MISC | O | O | B-PER | I-PER | O | O | B-MISC | O | O | O | O | B-ORG | I-ORG | O | O | O | B-ORG | O | O | O | O | B-ORG | O | B-PER | I-PER | O | O | B-PER | O | O | O | O | O | O | O | O | O | O***END***
5484,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | 83rd | minute | shot | , | curling | over | the | defence | and | dipping | in | under | the | bar | from | the | striker | dubbed | Batigol | by | adoring | Fiorentina | fans | , | was | just | reward | for | Fiorentina | who | looked | a | far | more | impressive | team | .

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | B-PER | O | O | B-ORG | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O | O | O***END***
5485,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Milan | 's | player | of | the | year | George | Weah | missed | a | good | first | half | opportunity | but | otherwise | looked | a | little | rusty | while | Italian | team | mate | Roberto | Baggio | did | not | play | due | to | injury | .

###

", B-ORG | O | O | O | O | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | O | O | O | O | B-MISC | O | O | B-PER | I-PER | O | O | O | O | O | O | O***END***
5486,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

New | Dutch | signing | Edgar | Davids | came | on | late | in | the | second | half | as | a | Milan | substitute | but | made | little | impact | .

###

", O | B-MISC | O | B-PER | I-PER | O | O | O | O | O | O | O | O | O | B-ORG | O | O | O | O | O | O***END***
5487,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

The | league | season | starts | on | September | 8 | .

###

", O | O | O | O | O | O | O | O***END***
5488,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | FIORENTINA | BEAT | MILAN | IN | ITALIAN | SUPERCUP | .

###

", O | O | B-ORG | O | B-ORG | O | B-MISC | I-MISC | O***END***
5489,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MILAN | 1996-08-25

###

", B-LOC | O***END***
5490,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Italian | Cup | winners | Fiorentina | beat

###

", B-MISC | B-MISC | O | B-ORG | O***END***
5491,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

league | champions | Milan | 2-1 | ( | halftime | 1-1 | ) | in | the | pre-season

###

", O | O | B-ORG | O | O | O | O | O | O | O | O***END***
5492,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Supercoppa | ( | SuperCup | ) | in | Milan | on | Sunday | :

###

", O | O | B-MISC | O | O | B-LOC | O | O | O***END***
5493,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Scorers | :

###

", O | O***END***
5494,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Fiorentina | - | Gabriel | Batistuta | ( | 11th | , | 83rd | )

###

", B-ORG | O | B-PER | I-PER | O | O | O | O | O***END***
5495,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Milan | - | Dejan | Savicevic | ( | 21st | )

###

", B-ORG | O | B-PER | I-PER | O | O | O***END***
5496,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 29,582

###

", O | O | O***END***
5497,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | NORWAY | ELITE | DIVISION | RESULTS | / | STANDINGS | .

###

", O | O | B-LOC | O | O | O | O | O | O***END***
5498,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

OSLO | 1996-08-25

###

", B-LOC | O***END***
5499,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Results | of | Norwegian | elite | division

###

", O | O | B-MISC | O | O***END***
5500,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

soccer | matches | at | the | weekend | :

###

", O | O | O | O | O | O***END***
5501,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Tromso | 2 | Kongsvinger | 1

###

", B-ORG | O | B-ORG | O***END***
5502,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Valerenga | 3 | Skeid | 0

###

", B-ORG | O | B-ORG | O***END***
5503,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Stabaek | 4 | Stromsgodset | 0

###

", B-ORG | O | B-ORG | O***END***
5504,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Molde | 1 | Bodo | / | Glimt | 2

###

", B-ORG | O | B-ORG | I-ORG | I-ORG | O***END***
5505,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Viking | 1 | Moss | 0

###

", B-ORG | O | B-ORG | O***END***
5506,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Brann | 7 | Start | 1

###

", B-ORG | O | B-ORG | O***END***
5507,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Rosenborg | 7 | Lillestrom | 2

###

", B-ORG | O | B-ORG | O***END***
5508,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Standings | after | weekend | matches | ( | tabulate | under | played | , | won | ,

###

", O | O | O | O | O | O | O | O | O | O | O***END***
5509,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

drawn | , | lost | , | goals | for | , | against | , | points | ) | :

###

", O | O | O | O | O | O | O | O | O | O | O | O***END***
5510,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Rosenborg | 20 | 14 | 4 | 2 | 68 | 21 | 46

###

", B-ORG | O | O | O | O | O | O | O***END***
5511,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Lillestrom | 19 | 9 | 5 | 5 | 38 | 29 | 32

###

", B-ORG | O | O | O | O | O | O | O***END***
5512,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Skeid | 19 | 10 | 2 | 7 | 29 | 30 | 32

###

", B-ORG | O | O | O | O | O | O | O***END***
5513,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Stabaek | 20 | 7 | 8 | 5 | 41 | 34 | 29

###

", B-ORG | O | O | O | O | O | O | O***END***
5514,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Brann | 19 | 8 | 5 | 6 | 40 | 37 | 29

###

", B-ORG | O | O | O | O | O | O | O***END***
5515,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Tromso | 20 | 8 | 5 | 7 | 34 | 33 | 29

###

", B-ORG | O | O | O | O | O | O | O***END***
5516,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Viking | 20 | 7 | 7 | 6 | 33 | 24 | 28

###

", B-ORG | O | O | O | O | O | O | O***END***
5517,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Molde | 19 | 8 | 3 | 8 | 36 | 25 | 27

###

", B-ORG | O | O | O | O | O | O | O***END***
5518,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bodo | / | Glimt | 20 | 7 | 4 | 9 | 33 | 41 | 25

###

", B-ORG | I-ORG | I-ORG | O | O | O | O | O | O | O***END***
5519,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Kongsvinger | 20 | 7 | 4 | 9 | 26 | 38 | 25

###

", B-ORG | O | O | O | O | O | O | O***END***
5520,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Stromsgodset | 20 | 7 | 4 | 9 | 27 | 40 | 25

###

", B-ORG | O | O | O | O | O | O | O***END***
5521,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Valerenga | 20 | 6 | 6 | 8 | 26 | 32 | 24

###

", B-ORG | O | O | O | O | O | O | O***END***
5522,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Moss | 20 | 4 | 6 | 10 | 23 | 40 | 18

###

", B-ORG | O | O | O | O | O | O | O***END***
5523,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Start | 20 | 3 | 3 | 14 | 26 | 56 | 12

###

", B-ORG | O | O | O | O | O | O | O***END***
5524,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | SUMMARY | OF | GERMAN | FIRST | DIVISION | MATCH | .

###

", O | O | O | O | B-MISC | O | O | O | O***END***
5525,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BONN | 1996-08-25

###

", B-LOC | O***END***
5526,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Summary | of | German | first | division

###

", O | O | B-MISC | O | O***END***
5527,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

match | played | on | Sunday | :

###

", O | O | O | O | O***END***
5528,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MSV | Duisberg | 0 | Bayern | Munich | 4 | ( | Klinsmann | 15th | , | Zieger | 24th | and

###

", B-ORG | I-ORG | O | B-ORG | I-ORG | O | O | B-PER | O | O | B-PER | O | O***END***
5529,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

90th | , | Witechek | 59th | ) | .

###

", O | O | B-PER | O | O | O***END***
5530,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Halftime | 0-2 | .

###

", O | O | O***END***
5531,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Attendance | : | 30,000 | .

###

", O | O | O | O***END***
5532,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

SOCCER | - | RESULT | OF | GERMAN | FIRST | DIVISION | MATCH | .

###

", O | O | O | O | B-MISC | O | O | O | O***END***
5533,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

BONN | 1996-08-25

###

", B-LOC | O***END***
5534,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Result | of | German | first | division

###

", O | O | B-MISC | O | O***END***
5535,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

soccer | match | on | Sunday | :

###

", O | O | O | O | O***END***
5536,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MSV | Duisberg | 0 | Bayern | Munich | 4

###

", B-ORG | I-ORG | O | B-ORG | I-ORG | O***END***
5537,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bundesliga | standings | after | Sunday | 's | game | ( | tabulate | under

###

", B-MISC | O | O | O | O | O | O | O | O***END***
5538,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

played | , | won | , | drawn | , | lost | , | goals | for | , | goals | against | , | points | ) | :

###

", O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O | O***END***
5539,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Cologne | 3 | 3 | 0 | 0 | 7 | 1 | 9

###

", B-ORG | O | O | O | O | O | O | O***END***
5540,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bayern | Munich | 3 | 2 | 1 | 0 | 7 | 2 | 7

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5541,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

VfB | Stuttgart | 2 | 2 | 0 | 0 | 6 | 1 | 6

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5542,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Borussia | Dortmund | 3 | 2 | 0 | 1 | 9 | 5 | 6

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5543,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Hamburg | 3 | 2 | 0 | 1 | 7 | 3 | 6

###

", B-ORG | O | O | O | O | O | O | O***END***
5544,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Bayer | Leverkusen | 3 | 2 | 0 | 1 | 7 | 4 | 6

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5545,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

VfL | Bochum | 3 | 1 | 2 | 0 | 3 | 2 | 5

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5546,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Karlsruhe | 2 | 1 | 1 | 0 | 5 | 3 | 4

###

", B-ORG | O | O | O | O | O | O | O***END***
5547,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

St | Pauli | 3 | 1 | 1 | 1 | 7 | 7 | 4

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5548,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

1860 | Munich | 3 | 1 | 0 | 2 | 3 | 5 | 3

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5549,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Freiburg | 3 | 1 | 0 | 2 | 5 | 10 | 3

###

", B-ORG | O | O | O | O | O | O | O***END***
5550,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Fortuna | Duesseldorf | 3 | 1 | 0 | 2 | 1 | 7 | 3

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5551,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Hansa | Rostock | 3 | 0 | 2 | 1 | 3 | 4 | 2

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5552,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Arminia | Bielefeld | 3 | 0 | 2 | 1 | 2 | 3 | 2

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5553,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Borussia | Moenchengladbach | 3 | 0 | 2 | 1 | 1 | 3 | 2

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5554,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Schalke | 3 | 0 | 2 | 1 | 4 | 8 | 2

###

", B-ORG | O | O | O | O | O | O | O***END***
5555,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

Werder | Bremen | 3 | 0 | 1 | 2 | 4 | 6 | 1

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
5556,"Label each token as one of O, B-PER, I-PER, B-LOC, I-LOC, B-ORG, I-ORG, B-MISC or I-MISC:

MSV | Duisburg | 3 | 0 | 0 | 3 | 1 | 8 | 0

###

", B-ORG | I-ORG | O | O | O | O | O | O | O***END***
