completion,prompt
" Only: None
one: None
director: Person
needs: None
to: None
sign: None
the: None
withdrawal: None
form: None
.: None

###","Only one director needs to sign the withdrawal form .

###

"
" Examples: None
A: None
vacancy: None
for: None
a: None
van: Person
driver: Person
says: None
the: None
person: Person
must: None
be: None
able: State
to: State
drive: State
.: None

###","Examples A vacancy for a van driver says the person must be able to drive .

###

"
" Check: None
your: None
discharge: None
date: None
online: None
using: None
the: Contact
Individual: Contact
Insolvency: Contact
Register: Contact
.: None

###","Check your discharge date online using the Individual Insolvency Register .

###

"
" Appeals: None
You: None
can: None
appeal: None
to: None
your: None
council: Organization
if: None
you: None
’: None
re: None
unhappy: None
with: None
their: None
decision: None
.: None

###","Appeals You can appeal to your council if you ’ re unhappy with their decision .

###

"
" Contact: None
the: None
NCFO: Organization
to: None
change: None
the: None
type: None
of: None
fuel: None
you: None
get: None
.: None

###","Contact the NCFO to change the type of fuel you get .

###

"
" You: None
can: None
report: Contact
and: None
pay: None
the: None
outstanding: None
VAT: None
over: None
6: None
months: None
.: None

###","You can report and pay the outstanding VAT over 6 months .

###

"
" If: None
you: None
want: None
to: None
add: None
another: None
attorney: Person
you: None
need: None
to: None
end: None
your: None
LPA: State
and: None
make: None
a: None
new: None
one: None
.: None

###","If you want to add another attorney you need to end your LPA and make a new one .

###

"
" You: None
’: None
ll: None
need: None
to: None
pay: None
by: None
19: Date
July: Date
if: None
paying: None
by: None
post: None
.: None

###","You ’ ll need to pay by 19 July if paying by post .

###

"
" The: None
work: None
you: None
do: None
in: None
the: None
UK: Location
must: None
relate: None
to: None
the: None
work: None
of: None
your: None
sponsor: Organization
organisation: Organization
.: None

###","The work you do in the UK must relate to the work of your sponsor organisation .

###

"
" If: None
you: None
’: None
re: None
employed: None
or: None
get: None
a: None
pension: None
HMRC: None
will: None
change: None
your: None
tax: Form
code: Form
so: None
you: None
pay: None
the: None
tax: None
automatically: None
.: None

###","If you ’ re employed or get a pension HMRC will change your tax code so you pay the tax automatically .

###

"
" You: None
cannot: None
request: None
a: None
second: Event
review: Event
(: None
unless: None
the: None
result: None
of: None
the: None
first: Event
review: Event
found: None
new: None
reasons: None
why: None
you: None
were: None
refused: State
): None
.: None

###","You cannot request a second review ( unless the result of the first review found new reasons why you were refused ) .

###

"
" It: None
may: None
be: None
different: None
in: Date
the: Date
year: Date
you: None
set: None
up: None
your: None
company: Organization
.: None

###","It may be different in the year you set up your company .

###

"
" HMRC: Organization
will: None
also: None
send: None
you: None
a: None
notice: None
telling: None
you: None
how: None
much: None
you: None
owe: None
and: None
how: None
it: None
’: None
s: None
worked: None
out: None
.: None

###","HMRC will also send you a notice telling you how much you owe and how it ’ s worked out .

###

"
" You: None
can: None
do: None
this: None
and: None
still: None
claim: None
tax: Finance
relief: Finance
for: None
the: None
donation: Finance
but: None
you: None
must: None
keep: None
records: None
of: None
the: None
gift: Finance
and: None
the: None
charity: Organization
’: None
s: None
request: None
.: None

###","You can do this and still claim tax relief for the donation but you must keep records of the gift and the charity ’ s request .

###

"
" The: None
online: None
service: None
is: None
also: None
available: None
in: None
Welsh: Location
(: None
Cymraeg: Location
): None
.: None

###","The online service is also available in Welsh ( Cymraeg ) .

###

"
" Apply: None
for: None
first: None
registration: Event
-: None
include: None
your: None
statement: Contact
with: None
your: None
application: Form
.: None

###","Apply for first registration - include your statement with your application .

###

"
" You: None
can: None
be: None
fined: None
or: None
sent: None
to: None
prison: Location
if: None
you: None
break: None
the: None
rules: None
.: None

###","You can be fined or sent to prison if you break the rules .

###

"
" Contact: None
a: None
‘: None
building: Organization
control: Organization
body: Organization
’: None
(: None
BCB: Organization
): None
to: None
check: None
the: None
building: Form
regulations: Form
or: None
apply: None
for: None
approval: Event
.: None

###","Contact a ‘ building control body ’ ( BCB ) to check the building regulations or apply for approval .

###

"
" If: None
either: None
party: None
wishes: None
to: None
dispute: None
the: None
amount: None
they: None
can: None
appeal: None
to: None
an: None
employment: Organization
tribunal: Organization
.: Organization

###","If either party wishes to dispute the amount they can appeal to an employment tribunal .

###

"
" You: None
can: None
also: None
use: None
them: None
to: None
work: None
out: None
how: None
much: None
Corporation: Finance
Tax: Finance
to: None
pay: None
.: None

###","You can also use them to work out how much Corporation Tax to pay .

###

"
" Your: None
partner: Person
will: None
need: None
someone: Person
to: None
make: None
decisions: None
for: None
them: None
during: None
the: None
process: Event
.: None

###","Your partner will need someone to make decisions for them during the process .

###

"
" Tell: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
by: None
registering: None
as: None
an: None
employer: Person
-: None
you: None
can: None
do: None
this: None
up: None
to: None
4: None
weeks: None
before: None
you: None
pay: None
your: None
new: None
staff: Person
.: None

###","Tell HM Revenue and Customs ( HMRC ) by registering as an employer - you can do this up to 4 weeks before you pay your new staff .

###

"
" The: None
address: Location
to: None
send: None
the: None
form: Form
is: None
in: None
the: None
guidance: None
notes: None
.: None

###","The address to send the form is in the guidance notes .

###

"
" You: None
may: None
also: None
have: None
to: None
pay: None
a: None
penalty: None
or: None
be: None
taken: None
to: None
court: Organization
.: None

###","You may also have to pay a penalty or be taken to court .

###

"
" You: None
could: None
be: None
eligible: None
for: None
extra: None
funding: Finance
depending: None
on: None
both: None
your: None
and: None
your: None
apprentice: Person
’: None
s: None
circumstances: None
.: None

###","You could be eligible for extra funding depending on both your and your apprentice ’ s circumstances .

###

"
" Write: None
‘: None
H: None
-: None
correction: None
to: None
earlier: None
submission: None
’: None
in: None
the: None
‘: None
Late: None
reporting: None
reason: None
’: None
field: None
.: None

###","Write ‘ H - correction to earlier submission ’ in the ‘ Late reporting reason ’ field .

###

"
" If: None
you: None
’: None
re: None
buying: None
with: None
someone: Person
else: Person
they: None
can: None
also: None
get: None
a: None
Help: None
to: None
Buy: None
ISA: None
.: None

###","If you ’ re buying with someone else they can also get a Help to Buy ISA .

###

"
" You: None
can: None
ask: None
the: None
Veterans: Organization
Welfare: Organization
Service: Organization
(: None
VWS: Organization
): None
for: None
help: None
with: None
making: None
your: None
claim: Form
.: None

###","You can ask the Veterans Welfare Service ( VWS ) for help with making your claim .

###

"
" A: None
child: Person
is: None
someone: Person
who: None
is: None
under: None
16: None
(: None
or: None
under: None
20: None
if: None
they: None
’: None
re: None
in: None
approved: None
education: None
or: None
training: None
): None
.: None

###","A child is someone who is under 16 ( or under 20 if they ’ re in approved education or training ) .

###

"
" You: None
have: None
to: None
wait: None
up: Date
to: Date
12: Date
months: Date
before: None
reapplying: None
if: None
you: None
’: None
ve: None
been: None
fined: None
for: None
employing: None
illegal: Person
workers: Person
and: None
you: None
lost: None
your: None
licence: None
.: None

###","You have to wait up to 12 months before reapplying if you ’ ve been fined for employing illegal workers and you lost your licence .

###

"
" If: None
the: None
accommodation: None
you: None
provide: None
isn: None
’: None
t: None
exempt: State
you: None
must: None
report: None
it: None
to: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: Organization
HMRC: Organization
): Organization
.: Organization

###","If the accommodation you provide isn ’ t exempt you must report it to HM Revenue and Customs ( HMRC ) .

###

"
" For: None
example: None
if: None
you: None
or: None
the: None
person: Person
you: None
claim: None
for: None
needs: None
more: None
help: None
goes: None
into: None
hospital: Location
or: None
moves: None
abroad: None
.: None

###","For example if you or the person you claim for needs more help goes into hospital or moves abroad .

###

"
" Help: None
and: None
advice: None
If: None
you: None
were: None
employed: None
in: None
England: Location
before: None
1: Date
October: Date
2013: Date
you: None
can: None
contact: None
the: None
Acas: Organization
helpline: None
or: None
use: None
the: None
Acas: Organization
Helpline: None
Online: None
to: None
get: None
further: None
advice: None
.: None

###","Help and advice If you were employed in England before 1 October 2013 you can contact the Acas helpline or use the Acas Helpline Online to get further advice .

###

"
" You: None
might: None
need: None
to: None
make: None
alterations: None
before: None
your: None
BCB: Organization
can: None
agree: None
the: None
work: None
complies: None
and: None
give: None
you: None
a: None
regularisation: State
certificate: State
.: None

###","You might need to make alterations before your BCB can agree the work complies and give you a regularisation certificate .

###

"
" Check: None
the: None
licences: Misc
register: Misc
to: None
see: None
if: None
anyone: Person
has: None
licensed: None
your: None
work: None
or: None
is: None
in: None
the: None
process: None
of: None
applying: None
for: None
a: None
licence: None
.: None

###","Check the licences register to see if anyone has licensed your work or is in the process of applying for a licence .

###

"
" There: None
have: None
been: None
changes: None
to: None
the: None
FIT: None
scheme: None
that: None
might: None
affect: None
you: None
if: None
you: None
applied: None
after: None
14: Date
January: Date
2016: Date
.: None

###","There have been changes to the FIT scheme that might affect you if you applied after 14 January 2016 .

###

"
" A: None
tribunal: Event
will: None
decide: None
who: None
owns: None
the: None
property: None
if: None
you: None
cannot: None
agree: None
-: None
HM: Organization
Land: Organization
Registry: Organization
will: None
arrange: None
this: None
.: None

###","A tribunal will decide who owns the property if you cannot agree - HM Land Registry will arrange this .

###

"
" It: None
sets: None
out: None
the: None
minimum: None
working: None
and: None
living: None
rights: None
for: None
seafarers: Person
.: None

###","It sets out the minimum working and living rights for seafarers .

###

"
" You: None
can: None
get: None
an: None
EHIC: Form
if: None
your: None
UK: Location
employer: Person
has: None
sent: State
you: State
to: State
work: State
in: None
an: None
EEA: Location
country: Location
for: None
a: None
short: Date
time: Date
.: None

###","You can get an EHIC if your UK employer has sent you to work in an EEA country for a short time .

###

"
" Crew: Person
members: Person
doing: None
specialist: None
jobs: None
or: None
working: None
on: None
particular: None
types: None
of: None
craft: None
may: None
need: None
special: None
training: None
.: None

###","Crew members doing specialist jobs or working on particular types of craft may need special training .

###

"
" You: None
must: None
still: None
involve: None
the: None
person: Person
in: None
making: None
decisions: None
whenever: None
possible: None
and: None
only: None
make: None
decisions: None
on: None
their: None
behalf: None
which: None
are: None
in: None
their: None
best: None
interests: None
.: None

###","You must still involve the person in making decisions whenever possible and only make decisions on their behalf which are in their best interests .

###

"
" The: None
amount: None
your: None
household: Person
gets: None
from: None
some: None
benefits: Finance
might: None
go: None
down: None
to: None
make: None
sure: None
you: None
do: None
not: None
get: None
more: None
than: None
the: None
cap: Finance
limit: Finance
.: None

###","The amount your household gets from some benefits might go down to make sure you do not get more than the cap limit .

###

"
" You: None
should: None
first: None
complain: Contact
to: None
the: None
company: Organization
the: None
bailiff: Person
works: None
for: None
or: None
the: None
people: Person
you: None
owe: None
money: Finance
to: None
.: None

###","You should first complain to the company the bailiff works for or the people you owe money to .

###

"
" Student: Organization
Finance: Organization
England: Organization
PO: Location
Box: Location
210: Location
Darlington: Location
DL1: Location
9HJ: Location

###","Student Finance England PO Box 210 Darlington DL1 9HJ

###

"
" Contact: None
the: None
Self: None
Assessment: None
helpline: None
if: None
you: None
’: None
re: None
not: None
sure: None
whether: None
a: None
business: Finance
cost: Finance
is: None
an: None
allowable: None
expense: None
.: None

###","Contact the Self Assessment helpline if you ’ re not sure whether a business cost is an allowable expense .

###

"
" One: None
-: None
off: None
repayment: None
You: None
can: None
pay: None
online: None
(: None
for: None
example: None
by: None
debit: None
card: None
): None
or: None
by: None
bank: Person
transfer: Person
or: None
cheque: None
.: None

###","One - off repayment You can pay online ( for example by debit card ) or by bank transfer or cheque .

###

"
" Check: None
the: None
‘: None
notice: Form
to: Form
deliver: Form
a: Form
Company: Form
Tax: Form
Return: Form
’: None
you: None
get: None
after: None
your: None
first: None
year: None
.: None

###","Check the ‘ notice to deliver a Company Tax Return ’ you get after your first year .

###

"
" Your: None
new: None
company: None
name: None
will: None
not: None
take: None
effect: None
until: None
it: None
’: None
s: None
registered: None
by: None
Companies: Organization
House: Organization
-: None
they: None
’: None
ll: None
tell: None
you: None
when: None
this: None
happens: None
.: None

###","Your new company name will not take effect until it ’ s registered by Companies House - they ’ ll tell you when this happens .

###

"
" Once: None
the: None
Child: Organization
Maintenance: Organization
Service: Organization
calculates: None
the: None
maintenance: Finance
amount: None
payments: Finance
are: None
usually: None
managed: None
between: None
parents: Person
.: None

###","Once the Child Maintenance Service calculates the maintenance amount payments are usually managed between parents .

###

"
" You: None
may: None
need: None
to: None
add: None
more: None
information: None
to: None
your: None
illustrations: Contact
to: None
make: None
it: None
clear: None
what: None
you: None
want: None
to: None
protect: None
.: None

###","You may need to add more information to your illustrations to make it clear what you want to protect .

###

"
" When: None
payments: None
stop: None
you: None
may: None
be: None
eligible: None
to: None
apply: None
for: None
Pension: Finance
Credit: Finance
or: None
Universal: Finance
Credit: Finance
.: None

###","When payments stop you may be eligible to apply for Pension Credit or Universal Credit .

###

"
" There: None
are: None
different: None
ways: None
to: None
apply: None
if: None
you: None
’: None
re: None
from: None
Scotland: Location
Wales: Location
or: None
Northern: Location
Ireland: Location
.: None

###","There are different ways to apply if you ’ re from Scotland Wales or Northern Ireland .

###

"
" If: None
there: None
’: None
s: None
anything: None
wrong: None
with: None
it: None
return: None
it: None
to: None
your: None
district: Organization
probate: Organization
registry: Organization
.: None

###","If there ’ s anything wrong with it return it to your district probate registry .

###

"
" You: None
must: None
give: None
notice: None
to: None
your: None
neighbour: Person
between: None
2: None
months: None
and: None
a: None
year: None
before: None
you: None
plan: None
to: None
start: None
building: Contact
works: Contact
.: None

###","You must give notice to your neighbour between 2 months and a year before you plan to start building works .

###

"
" Each: None
family: Person
member: Person
will: None
need: None
to: None
make: None
their: None
own: None
application: Form
.: None

###","Each family member will need to make their own application .

###

"
" There: None
are: None
3: None
different: None
ways: None
(: None
‘: None
routes: None
’: None
): None
to: None
get: None
a: None
certificate: Form
-: None
which: None
one: None
you: None
use: None
depends: None
on: None
your: None
situation: None
.: None

###","There are 3 different ways ( ‘ routes ’ ) to get a certificate - which one you use depends on your situation .

###

"
" The: None
courts: Organization
are: None
more: None
likely: None
to: None
grant: None
this: None
if: None
you: None
provide: None
alternative: None
accommodation: Location
.: None

###","The courts are more likely to grant this if you provide alternative accommodation .

###

"
" HMRC: Organization
will: None
transfer: None
your: None
Direct: Organization
Debit: Organization
to: None
the: None
new: None
system: None
.: None

###","HMRC will transfer your Direct Debit to the new system .

###

"
" The: None
process: None
is: None
different: None
in: None
Scotland: Location
and: None
Northern: Location
Ireland: Location
.: None

###","The process is different in Scotland and Northern Ireland .

###

"
" Contact: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: Organization
): None
if: None
you: None
’: None
re: None
not: None
sure: None
about: None
a: None
particular: None
item: None
.: None

###","Contact HM Revenue and Customs ( HMRC ) if you ’ re not sure about a particular item .

###

"
" Search: None
reports: Form
can: None
take: None
up: None
to: None
6: Date
months: Date
.: None

###","Search reports can take up to 6 months .

###

"
" If: None
you: None
cannot: None
agree: None
you: None
can: None
ask: None
a: None
court: Organization
to: None
decide: None
how: None
to: None
change: None
(: None
‘: None
vary: None
’: None
): None
the: None
order: None
.: None

###","If you cannot agree you can ask a court to decide how to change ( ‘ vary ’ ) the order .

###

"
" As: None
well: None
as: None
your: None
normal: None
ISA: Finance
allowance: Finance
you: None
can: None
add: None
a: None
tax: None
-: None
free: None
amount: None
up: None
to: None
the: None
value: None
they: None
held: None
in: None
their: None
ISA: Finance
when: None
they: None
died: Event
.: None

###","As well as your normal ISA allowance you can add a tax - free amount up to the value they held in their ISA when they died .

###

"
" Use: None
form: None
TM31R: Form
to: None
get: None
a: None
certified: Form
copy: Form
of: None
a: None
trade: None
mark: None
.: None

###","Use form TM31R to get a certified copy of a trade mark .

###

"
" You: None
cannot: None
update: None
the: None
memorandum: None
once: None
the: None
company: Organization
has: None
been: None
registered: None
.: None

###","You cannot update the memorandum once the company has been registered .

###

"
" You: None
can: None
’: None
t: None
ask: None
your: None
employee: Person
to: None
become: None
self: None
-: None
employed: None
.: None

###","You can ’ t ask your employee to become self - employed .

###

"
" Keep: None
records: None
Your: None
company: Organization
must: None
keep: None
a: None
record: None
of: None
amounts: None
claimed: None
back: None
against: None
your: None
monthly: Date
or: None
quarterly: Date
PAYE: Organization
bill: None
.: None

###","Keep records Your company must keep a record of amounts claimed back against your monthly or quarterly PAYE bill .

###

"
" You: None
can: None
only: None
use: None
simplified: Finance
expenses: Finance
if: None
you: None
work: None
for: None
25: Date
hours: Date
or: Date
more: Date
a: None
month: Date
from: None
home: Location
.: None

###","You can only use simplified expenses if you work for 25 hours or more a month from home .

###

"
" Paying: None
your: None
employee: None
for: None
a: None
different: None
pay: None
period: None
Recalculate: None
the: None
protected: Finance
earnings: Finance
rate: Finance
and: None
normal: None
deduction: None
rate: None
if: None
you: None
pay: None
your: None
employee: None
for: None
a: None
different: None
period: None
than: None
usual: None
.: None

###","Paying your employee for a different pay period Recalculate the protected earnings rate and normal deduction rate if you pay your employee for a different period than usual .

###

"
" Personal: Finance
Independence: Finance
Payment: Finance
Personal: Finance
Independence: Finance
Payment: Finance
(: None
PIP: Finance
): None
is: None
a: None
tax: Finance
-: Finance
free: Finance
benefit: Finance
for: None
people: Person
aged: None
16: None
or: None
over: None
who: None
have: None
not: None
reached: None
State: Person
Pension: Person
age: Person
.: None

###","Personal Independence Payment Personal Independence Payment ( PIP ) is a tax - free benefit for people aged 16 or over who have not reached State Pension age .

###

"
" OISC: None
may: None
refer: None
your: None
complaint: None
elsewhere: None
if: None
you: None
complain: None
about: None
a: None
solicitor: Person
or: None
barrister: Person
.: None

###","OISC may refer your complaint elsewhere if you complain about a solicitor or barrister .

###

"
" If: None
a: None
purchase: Event
is: None
also: None
for: None
personal: None
or: None
private: None
use: None
you: None
can: None
only: None
reclaim: None
the: None
business: None
proportion: None
of: None
the: None
VAT: None
.: None

###","If a purchase is also for personal or private use you can only reclaim the business proportion of the VAT .

###

"
" What: None
to: None
register: None
You: None
only: None
need: None
to: None
register: Event
land: Event
that: None
you: None
want: None
to: None
claim: Finance
payments: Finance
on: None
.: None

###","What to register You only need to register land that you want to claim payments on .

###

"
" You: None
must: None
tell: None
the: None
customer: Person
they: None
can: None
cancel: None
their: None
order: None
up: None
to: None
14: Date
days: Date
after: None
their: None
order: None
is: None
delivered: None
.: None

###","You must tell the customer they can cancel their order up to 14 days after their order is delivered .

###

"
" You: None
’: None
re: None
allowed: None
to: None
ask: None
employees: Person
about: None
their: None
future: None
career: None
plans: None
including: None
retirement: Event
.: None

###","You ’ re allowed to ask employees about their future career plans including retirement .

###

"
" Check: None
that: None
officers: Person
’: None
CoCs: Finance
are: None
valid: None
on: None
the: None
Maritime: Organization
and: Organization
Coastguard: Organization
Agency: Organization
(: None
MCA: Organization
): None
website: None
.: None

###","Check that officers ’ CoCs are valid on the Maritime and Coastguard Agency ( MCA ) website .

###

"
" You: None
must: None
tell: None
customers: Person
if: None
you: None
add: None
them: None
to: None
a: None
list: None
of: None
people: Person
who: None
do: None
not: None
want: None
to: None
be: None
emailed: None
.: None

###","You must tell customers if you add them to a list of people who do not want to be emailed .

###

"
" You: None
may: None
also: None
be: None
eligible: None
if: None
there: None
’: None
s: None
one: None
surviving: State
parent: Person
.: None

###","You may also be eligible if there ’ s one surviving parent .

###

"
" Fees: Finance
Check: None
the: None
fees: Finance
for: Finance
this: Finance
visa: Finance
.: None

###","Fees Check the fees for this visa .

###

"
" Discretionary: None
bursary: None
You: None
could: None
get: None
a: None
discretionary: None
bursary: None
if: None
you: None
need: None
financial: None
help: None
but: None
do: None
not: None
qualify: None
for: None
a: None
bursary: None
for: None
students: Person
in: None
vulnerable: None
groups: Organization
.: None

###","Discretionary bursary You could get a discretionary bursary if you need financial help but do not qualify for a bursary for students in vulnerable groups .

###

"
" Your: None
landlord: Person
only: None
needs: None
to: None
give: None
‘: None
reasonable: None
notice: None
’: None
to: None
quit: None
.: None

###","Your landlord only needs to give ‘ reasonable notice ’ to quit .

###

"
" For: None
any: None
other: None
method: None
of: None
import: None
contact: None
the: None
National: Organization
Import: Organization
Reliefs: Organization
Unit: Organization
.: None

###","For any other method of import contact the National Import Reliefs Unit .

###

"
" There: None
’: None
s: None
a: None
different: None
process: None
in: None
Scotland: Location
and: None
Northern: Location
Ireland: Location
.: None

###","There ’ s a different process in Scotland and Northern Ireland .

###

"
" The: None
actual: None
amount: None
you: None
can: None
get: None
depends: None
on: None
your: None
accommodation: Finance
costs: Finance
.: None

###","The actual amount you can get depends on your accommodation costs .

###

"
" You: None
can: None
apply: None
for: None
a: None
Junior: Person
ISA: Person
instead: None
.: None

###","You can apply for a Junior ISA instead .

###

"
" Micro: Organization
-: Organization
entities: Organization
Micro: Organization
-: Organization
entities: Organization
are: None
very: None
small: None
companies: Organization
.: None

###","Micro - entities Micro - entities are very small companies .

###

"
" Appeal: None
to: None
the: None
tribunal: Event
if: None
HMRC: Organization
will: None
not: None
let: None
you: None
delay: None
payment: Finance
.: None

###","Appeal to the tribunal if HMRC will not let you delay payment .

###

"
" Check: None
how: None
your: None
employer: Person
works: None
out: None
how: None
much: None
tax: Finance
to: None
deduct: None
from: None
your: None
pay: Finance
.: None

###","Check how your employer works out how much tax to deduct from your pay .

###

"
" You: None
should: None
not: None
let: None
the: None
person: Person
selecting: None
or: None
interviewing: None
candidates: Person
see: None
this: None
form: None
.: None

###","You should not let the person selecting or interviewing candidates see this form .

###

"
" Check: None
if: None
you: None
’: None
re: None
eligible: None
to: None
apply: None
another: None
way: None
-: None
including: None
through: None
the: None
Windrush: None
scheme: None
.: None

###","Check if you ’ re eligible to apply another way - including through the Windrush scheme .

###

"
" You: None
’: None
ll: None
also: None
need: None
a: None
certain: None
amount: None
of: None
experience: None
at: None
sea: None
.: None

###","You ’ ll also need a certain amount of experience at sea .

###

"
" Send: None
a: None
cheque: None
along: None
with: None
your: None
HM: Organization
Revenue: Organization
and: Organization
Customs: Organization
(: None
HMRC: None
): None
payslip: None
.: None

###","Send a cheque along with your HM Revenue and Customs ( HMRC ) payslip .

###

"
" The: None
basic: None
State: Finance
Pension: Finance
increases: None
by: None
1: None
%: None
for: None
every: None
5: None
weeks: None
you: None
defer: None
.: None

###","The basic State Pension increases by 1 % for every 5 weeks you defer .

###

"
" HMRC: Organization
also: None
offers: None
a: None
textphone: None
service: None
for: None
some: None
of: None
its: None
helplines: None
.: None

###","HMRC also offers a textphone service for some of its helplines .

###

"
" You: None
need: None
to: None
have: None
a: None
paid: None
job: None
or: None
be: None
about: None
to: None
start: Event
or: None
return: None
to: None
one: None
.: None

###","You need to have a paid job or be about to start or return to one .

###

"
" You: None
can: None
get: None
help: None
filling: None
in: None
the: None
form: Form
at: None
a: None
Citizens: Organization
Advice: Organization
office: None
.: None

###","You can get help filling in the form at a Citizens Advice office .

###

"
" The: None
court: Organization
may: None
also: None
take: None
away: None
your: None
lease: Misc
.: None

###","The court may also take away your lease .

###

"
" If: None
your: None
application: Form
is: None
rejected: None
you: None
have: None
2: Date
months: Date
to: None
appeal: None
-: None
the: None
letter: Contact
will: None
tell: None
you: None
how: None
.: None

###","If your application is rejected you have 2 months to appeal - the letter will tell you how .

###

"
" You: None
must: None
be: None
a: None
British: State
citizen: State
to: None
apply: Event
for: None
a: None
card: Form
.: None

###","You must be a British citizen to apply for a card .

###

"
" By: None
doing: None
this: None
you: None
’: None
ll: None
register: Event
for: None
VAT: Finance
and: None
create: None
a: None
VAT: Form
online: Form
account: Form
(: None
sometimes: None
known: None
as: None
a: None
‘: None
Government: Form
Gateway: Form
account: Form
’: None
): None
.: None

###","By doing this you ’ ll register for VAT and create a VAT online account ( sometimes known as a ‘ Government Gateway account ’ ) .

###

"
" This: None
is: None
an: None
SMS: Person
user: Person
with: None
more: None
restricted: None
access: None
than: None
a: None
level: None
1: None
user: Person
for: None
example: None
they: None
cannot: None
withdraw: None
a: None
certificate: Form
of: Form
sponsorship: Form
.: None

###","This is an SMS user with more restricted access than a level 1 user for example they cannot withdraw a certificate of sponsorship .

###

"
" You: None
do: None
not: None
have: None
to: None
file: None
a: None
return: None
for: None
the: None
months: Date
when: None
you: None
made: None
no: None
payments: None
to: None
subcontractors: Person
but: None
you: None
must: None
tell: None
HMRC: Organization
that: None
no: None
return: None
is: None
due: None
.: None

###","You do not have to file a return for the months when you made no payments to subcontractors but you must tell HMRC that no return is due .

###

"
" The: None
agency: Organization
will: None
tell: None
you: None
how: None
you: None
can: None
make: None
a: None
complaint: None
.: None

###","The agency will tell you how you can make a complaint .

###

"
" Anything: None
that: None
’: None
s: None
left: None
will: None
go: None
to: None
the: None
Crown: Person
-: None
you: None
’: None
ll: None
have: None
to: None
restore: None
the: None
company: Organization
to: None
get: None
anything: None
back: None
.: None

###","Anything that ’ s left will go to the Crown - you ’ ll have to restore the company to get anything back .

###

"
" This: None
is: None
the: None
final: None
legal: Event
document: Event
which: None
says: None
that: None
the: None
marriage: Misc
has: None
been: None
annulled: None
.: None

###","This is the final legal document which says that the marriage has been annulled .

###

"
" Help: None
and: None
support: None
using: None
the: None
service: None
Contact: None
the: None
Vehicle: Organization
Certification: Organization
Agency: Organization
(: Organization
VCA: Organization
): Organization
for: None
help: None
using: None
the: None
tool: None
.: None

###","Help and support using the service Contact the Vehicle Certification Agency ( VCA ) for help using the tool .

###

"
" Seafarers: Person
called: None
out: None
in: None
a: None
rest: Event
period: Event
are: None
entitled: None
to: None
a: None
rest: Event
period: Event
to: None
make: None
up: None
for: None
it: None
.: None

###","Seafarers called out in a rest period are entitled to a rest period to make up for it .

###

"
" This: None
can: None
be: None
a: None
friend: Person
relative: Person
or: None
an: None
adviser: Person
from: None
a: None
voluntary: None
organisation: Organization
.: None

###","This can be a friend relative or an adviser from a voluntary organisation .

###

"
" Keep: None
a: None
record: Form
of: None
your: None
complaint: None
for: None
example: None
details: None
about: None
any: None
communication: None
between: None
you: None
and: None
the: None
claims: Organization
company: Organization
.: None

###","Keep a record of your complaint for example details about any communication between you and the claims company .

###

"
" This: None
counts: None
as: None
a: None
reward: None
so: None
she: None
must: None
be: None
paid: None
at: None
least: None
the: None
minimum: None
wage: None
for: None
the: None
whole: None
time: None
she: None
spends: None
at: None
the: None
company: Organization
.: None

###","This counts as a reward so she must be paid at least the minimum wage for the whole time she spends at the company .

###

"
" It: None
can: None
help: None
with: None
the: None
extra: None
costs: None
caused: None
by: None
long: None
term: None
ill: State
-: State
health: State
or: None
a: None
disability: None
.: None

###","It can help with the extra costs caused by long term ill - health or a disability .

###

"
" It: None
costs: None
£10: None
to: None
strike: None
off: None
a: None
company: Organization
.: None

###","It costs £10 to strike off a company .

###

"
" If: None
your: None
employer: Person
reimburses: None
some: None
of: None
the: None
money: Finance
you: None
can: None
claim: None
relief: Finance
on: None
the: None
difference: None
.: None

###","If your employer reimburses some of the money you can claim relief on the difference .

###

"
" To: None
find: None
out: None
if: None
there: None
are: None
accessible: Misc
taxis: Misc
near: None
you: None
contact: Event
the: None
taxi: Organization
licensing: Organization
office: Organization
at: None
your: None
local: None
council: None
.: None

###","To find out if there are accessible taxis near you contact the taxi licensing office at your local council .

###

"
" Invest: Organization
Northern: Organization
Ireland: Organization
Telephone: None
:: None
0800: None
181: None
4422: None
Monday: None
to: None
Friday: None
8: None
:: None
30am: None
to: None
5pm: None
Find: None
out: None
about: None
call: None
charges: None

###","Invest Northern Ireland Telephone : 0800 181 4422 Monday to Friday 8 : 30am to 5pm Find out about call charges

###

"
" This: None
is: None
known: None
as: None
making: None
a: None
court: Form
claim: Form
.: None

###","This is known as making a court claim .

###

"
" This: None
usually: None
gives: None
your: None
lodger: Person
less: None
protection: None
from: None
eviction: None
than: None
other: None
types: None
of: None
agreement: None
.: None

###","This usually gives your lodger less protection from eviction than other types of agreement .

###

"
" If: None
you: State
were: State
unsuccessful: State
you: None
may: None
now: None
be: None
eligible: None
for: None
one: None
of: None
the: None
other: None
compensation: None
schemes: None
.: None

###","If you were unsuccessful you may now be eligible for one of the other compensation schemes .

###

"
" Your: None
attorney: Person
can: None
also: None
register: None
it: None
for: None
you: None
.: None

###","Your attorney can also register it for you .

###

"
